Latitude,Longitude,Elevation,Soil Layer Depth,Recovery Time,Original Soil Organic Carbon (g/kg),Post-Recovery Soil Organic Carbon (g/kg),Annual Increase in Soil Organic Carbon (g/kg),Monthly Increase in Soil Organic Carbon (g/kg),Lai
36.6666667,109.35,1247m,0-10,20,2.43453,10.6217,0.4093585,0.0341132,0.927459717
36.65,109.3333333,1193m,0-10,20,2.43453,7.70445,0.263496,0.021958,1.210876465
36.65,109.35,1258m,0-10,40,2.43453,6.15642,0.0930473,0.0077539,1.019053102
36.5333333,108.75,1297m,0-10,19,4.5084107,14.6838747,0.5355507,0.0446292,2.048685789
34.6333333,107.0833333,710～1 546 m,0～10 cm,30,4.48331,4.73317,0.0083287,0.0006941,2.016937256
34.65,107.1,710～1 546 m,0～10 cm,20,4.48331,4.64416,0.0080425,0.0006702,2.016937256
34.6666667,107.1166667,710～1 546 m,0～10 cm,5,4.48331,4.55827,0.014992,0.0012493,1.898000121
34.6833333,107.1333333,710～1 546 m,0～10 cm,4,4.48331,4.51923,0.00898,0.0007483,1.898000121
36.0796417,109.1738833,920~1 683 m,0~20 cm,1,3.62529,4.524362,0.899072,0.0749227,2.546061277
38.8083333,110.3666667,1 081.0~1 273.7 m,0~20 cm,1,2.1012935,2.3643561,0.2630626,0.0219219,0.530537903
38.8166667,110.375,1 081.0~1 273.7 m,0~20 cm,4,2.1012935,2.5905336,0.12231,0.0101925,0.530537903
38.825,110.3833333,1 081.0~1 273.7 m,0~20 cm,6,2.1012935,1.8408411,-0.0434087,-0.0036174,0.530537903
38.8333333,110.3916667,1 081.0~1 273.7 m,0~20 cm,10,2.1012935,2.0798666,-0.0021427,-0.0001786,0.530537903
38.8416667,110.4,1 081.0~1 273.7 m,0~20 cm,14,2.1012935,1.8937529,-0.0148243,-0.0012354,0.530537903
38.85,110.4083333,1 081.0~1 273.7 m,0~20 cm,21,2.1012935,2.5341009,0.0206099,0.0017175,0.530537903
38.8583333,110.4166667,1 081.0~1 273.7 m,0~20 cm,30,2.1012935,3.4003016,0.0433003,0.0036084,0.5184021
36.8697583,109.35,1319,0.1,40,1.54669,4.44484,0.0724538,0.0060378,0.855417907
36.843475,109.3518306,1201,0-10,40,1.54669,4.44801,0.072533,0.0060444,0.86831665
36.5,100.5,2511 ~ 2588,0-20,20,12.8576,13.7296,0.0436,0.0036333,0.952392578
36.0066667,106.475,1610,,50,7.4,14.45,0.141,0.01175,0.838185608
36.0127778,106.4669444,1591,,2,7.4,6.48,-0.46,-0.0383333,0.838185608
36.0152778,106.4816667,1581,,6,7.4,9.3,0.3166667,0.0263889,0.838185608
36.0130556,106.4669444,1588,,12,7.4,7.04,-0.03,-0.0025,0.838185608
36.7463889,109.2533333,1303,,7,5.22,3.33,-0.27,-0.0225,0.931060791
36.7338889,109.2752778,1276,,12,5.22,3.37,-0.1541667,-0.0128472,0.931060791
36.7358333,109.2705556,1307,,17,5.22,2.69,-0.1488235,-0.012402,0.931060791
36.7347222,109.2741667,1267,,22,5.22,3.2,-0.0918182,-0.0076515,0.931060791
36.7375,109.2652778,1246,,32,5.22,5.01,-0.0065625,-0.0005469,0.931060791
36.7333333,109.2666667,1303,,7,5.20923,3.33538,-0.2676929,-0.0223077,0.931060791
36.5333,108.75,1297,0-10,20,5.8700696,13.6658933,0.3897912,0.0324826,2.048685789
36.7688889,109.2730556,1140,0-20,35,4.924594,4.8259861,-0.0028174,-0.0002348,0.867624938
36.7447222,109.2508333,1152,0-20,25,4.924594,5.2088167,0.0113689,0.0009474,0.931060791
36.7877778,109.2713889,1200,0-20,40,4.924594,4.7911833,-0.0033353,-0.0002779,0.867624938
36.7436111,109.2536111,1260,0-20,30,4.924594,4.9593968,0.0011601,0.0000967,0.931060791
36.7311111,109.2461111,1340,0-20,15,4.924594,4.8781903,-0.0030936,-0.0002578,0.92791748
36.7877778,109.2583333,1200,0-20,40,4.924594,4.9941995,0.0017401,0.000145,0.867624938
36.7975,109.2794444,1250,0-20,30,4.924594,4.2865429,-0.0212684,-0.0017724,0.867624938
36.7875,109.2575,1230,0-20,20,4.924594,3.8109049,-0.0556845,-0.0046404,0.867624938
36.7877778,109.2733333,1180,0-20,10,4.924594,3.2366589,-0.1687935,-0.0140661,0.867624938
36.85,109.3166667,1010 to 1431m,0-10,10,3.49552,4.46879,0.097327,0.0081106,0.867624938
36.7333333,109.25,1220 m,,10,3.27,3.3,0.003,0.00025,0.931060791
36.65,109.1833333,1200–1300 m,0-5,5,0.233766,0.285714,0.0103896,0.0008658,1.523172975
36.5202778,109.5305556,1256,0～5,30,9.11957,4.677216,-0.1480785,-0.0123399,1.399475098
36.4580556,109.5372222,1250,0～5,30,9.11957,6.65163,-0.0822647,-0.0068554,1.399475098
36.4586111,109.5230556,1238,0～5,20,9.11957,5.88042,-0.1619575,-0.0134965,1.399475098
36.2666667,106.425,2088,0-40,12,0.91,1.76,0.0708333,0.0059028,0.790303528
37.25,118.3,972-1033,,1,3.3,2.8,-0.5,-0.0416667,1.22076416
